#tag	cores	nPar	nSteps	t1	t	colliderRel
r3547	1	1000	1000	0.027722	0.00113205	0.253564
r3547	1	1000	1000	0.030906	0.00113108	0.256245
r3547	1	1000	1000	0.028097	0.00113005	0.254102
r3547	1	1000	1000	0.028137	0.00112814	0.254958
r3547	1	1000	1000	0.027703	0.00112650	0.255132
r3547	1	8000	1000	0.682657	0.01880541	0.388761
r3547	1	8000	1000	0.681791	0.01870417	0.389567
r3547	1	8000	1000	0.680648	0.01873362	0.388966
r3547	1	8000	1000	0.683238	0.01880748	0.390339
r3547	1	8000	1000	0.682396	0.01874137	0.389467
r3547	1	15625	1000	2.201145	0.05126261	0.500072
r3547	1	15625	1000	2.198710	0.05182462	0.503689
r3547	1	15625	1000	2.190519	0.05193463	0.503527
r3547	1	27000	1000	5.327110	0.11107199	0.544320
r3547	1	27000	1000	5.312836	0.10884722	0.546834
r3547	1	64000	1000	20.060362	0.35567931	0.630258
r3547	1	125000	1000	65.837962	0.94448303	0.685606
r3547	1	216000	1000	161.579493	1.97242203	0.740175
r3547	2	1000	1000	0.026819	0.00074989	0.367584
r3547	2	1000	1000	0.026860	0.00075037	0.364705
r3547	2	1000	1000	0.026729	0.00074782	0.368766
r3547	2	1000	1000	0.026857	0.00074983	0.367063
r3547	2	1000	1000	0.026794	0.00074496	0.369726
r3547	2	8000	1000	0.672108	0.01310835	0.526098
r3547	2	8000	1000	0.672448	0.01306058	0.526101
r3547	2	8000	1000	0.672840	0.01307739	0.526456
r3547	2	8000	1000	0.673044	0.01304013	0.527928
r3547	2	8000	1000	0.671789	0.01307319	0.525350
r3547	2	15625	1000	2.220170	0.03825109	0.641026
r3547	2	15625	1000	2.179951	0.03780716	0.639388
r3547	2	15625	1000	2.166108	0.03766334	0.635652
r3547	2	27000	1000	5.301447	0.08324040	0.677275
r3547	2	27000	1000	5.290555	0.08355558	0.676566
r3547	2	64000	1000	19.507503	0.29672776	0.745527
r3547	2	125000	1000	65.680619	0.77009694	0.800420
r3547	2	216000	1000	162.152423	1.70605957	0.839786
r3547	4	1000	1000	0.028907	0.00057967	0.488645
r3547	4	1000	1000	0.028296	0.00057590	0.488645
r3547	4	1000	1000	0.027688	0.00055164	0.490265
r3547	4	1000	1000	0.027682	0.00055120	0.492154
r3547	4	1000	1000	0.028644	0.00056286	0.491762
r3547	4	8000	1000	0.672761	0.01029891	0.665995
r3547	4	8000	1000	0.704392	0.01045372	0.662908
r3547	4	8000	1000	0.673354	0.01021752	0.668029
r3547	4	8000	1000	0.677306	0.01028151	0.666674
r3547	4	8000	1000	0.671932	0.01017596	0.668017
r3547	4	15625	1000	2.153676	0.03145136	0.752574
