#tag	cores	nPar	nSteps	t1	t	colliderRel
orig	6	1000	1000	0.014824	0.00047514	0.504125
orig	6	1000	1000	0.016755	0.00052072	0.506132
orig	6	1000	1000	0.020801	0.00054790	0.475259
orig	6	1000	1000	0.016398	0.00050656	0.508124
orig	6	1000	1000	0.013712	0.00047792	0.501423
orig	6	8000	1000	0.174677	0.00858607	0.695180
orig	6	8000	1000	0.177077	0.00862801	0.693739
orig	6	8000	1000	0.175217	0.00857099	0.696107
orig	6	8000	1000	0.177108	0.00864574	0.697662
orig	6	8000	1000	0.184301	0.00864302	0.695462
orig	6	15625	1000	0.446495	0.02289088	0.756370
orig	6	15625	1000	0.447578	0.02284080	0.755296
orig	6	15625	1000	0.460780	0.02249645	0.755332
orig	6	27000	1000	0.979661	0.05043033	0.795888
orig	6	27000	1000	0.995835	0.05042806	0.793079
orig	6	64000	1000	3.653557	0.18494859	0.848965
orig	6	125000	1000	10.335745	0.49150118	0.873609
onlyMinMax	6	1000	1000	0.017858	0.00038959	0.382004
onlyMinMax	6	1000	1000	0.015019	0.00040865	0.395898
onlyMinMax	6	1000	1000	0.017170	0.00039821	0.377674
onlyMinMax	6	1000	1000	0.019268	0.00044395	0.360391
onlyMinMax	6	1000	1000	0.020006	0.00040644	0.367907
onlyMinMax	6	8000	1000	0.173530	0.00599980	0.554929
onlyMinMax	6	8000	1000	0.172301	0.00592405	0.554809
onlyMinMax	6	8000	1000	0.184668	0.00590768	0.553834
onlyMinMax	6	8000	1000	0.171168	0.00586006	0.555816
onlyMinMax	6	8000	1000	0.171883	0.00603951	0.559758
onlyMinMax	6	15625	1000	0.441475	0.01441186	0.609362
onlyMinMax	6	15625	1000	0.438876	0.01441804	0.611631
onlyMinMax	6	15625	1000	0.436453	0.01442183	0.612997
onlyMinMax	6	27000	1000	0.955045	0.03200450	0.666698
onlyMinMax	6	27000	1000	0.957901	0.03116287	0.658592
onlyMinMax	6	64000	1000	3.560061	0.10183975	0.707603
onlyMinMax	6	125000	1000	10.081448	0.23844239	0.730348
separate	6	1000	1000	0.015639	0.00034451	0.393447
separate	6	1000	1000	0.014660	0.00034521	0.402059
separate	6	1000	1000	0.016966	0.00039877	0.390917
separate	6	1000	1000	0.017417	0.00039111	0.381923
separate	6	1000	1000	0.013596	0.00042261	0.351462
separate	6	8000	1000	0.171049	0.00572348	0.565029
separate	6	8000	1000	0.174011	0.00570225	0.560463
separate	6	8000	1000	0.179756	0.00586551	0.558385
separate	6	8000	1000	0.187595	0.00569970	0.563541
separate	6	8000	1000	0.176504	0.00560114	0.564710
separate	6	15625	1000	0.467413	0.01439400	0.614144
separate	6	15625	1000	0.439022	0.01400781	0.613214
separate	6	15625	1000	0.439315	0.01407377	0.614519
separate	6	27000	1000	0.968943	0.03096608	0.661295
separate	6	27000	1000	0.961026	0.03017553	0.654456
separate	6	64000	1000	3.600418	0.10025903	0.710634
separate	6	125000	1000	10.250812	0.23288131	0.734833
later	6	1000	1000	0.014474	0.00035975	0.388947
later	6	1000	1000	0.013868	0.00036453	0.387877
later	6	1000	1000	0.013294	0.00035759	0.388425
later	6	1000	1000	0.013752	0.00034475	0.395669
later	6	1000	1000	0.016376	0.00036199	0.389499
later	6	8000	1000	0.143508	0.00601102	0.561501
later	6	8000	1000	0.141096	0.00598400	0.562624
later	6	8000	1000	0.140102	0.00566833	0.566808
later	6	8000	1000	0.145404	0.00564044	0.570935
later	6	8000	1000	0.144496	0.00553793	0.573860
later	6	15625	1000	0.352906	0.01418629	0.616272
later	6	15625	1000	0.353546	0.01402087	0.617792
